   Series Code	                        Series Name                         	New Name
0 .NV.AGR.TOTL.ZS	Agriculture, forestry, and fishing, value added (% of GDP)  	AggForestFish_PctGDP
1 .GC.DOD.TOTL.GD.ZS	Central government debt, total (% of GDP)                   	GovtDebt_Total
2 .NY.GDP.COAL.RT.ZS	Coal rents (% of GDP)                                       	CoalRents_PctGDP
3 .SH.XPD.CHEX.GD.ZS	Current health expenditure (% of GDP)                       	HealthExp_PctGDP
4 .FS.AST.PRVT.GD.ZS	Domestic credit to private sector (% of GDP)                	Cred2Private_PctGDP
5 .SH.XPD.GHED.GD.ZS	Domestic general government health expenditure (% of GDP)   	GovtHealth_PctGDP
6 .NE.EXP.GNFS.ZS	Exports of goods and services (% of GDP)                    	ExportsGoodServices_PctGDP
7 .NE.CON.TOTL.ZS	Final consumption expenditure (% of GDP)                    	FinalConsumpExp_PctGDP
8 .BM.KLT.DINV.WD.GD.ZS	Foreign direct investment, net outflows (% of GDP)          	ForeignInvstOutflow_PctGDP
9 .NY.GDP.MKTP.KD	GDP (constant 2015 US$)                                     	GDP_2015USD
10.NY.GDP.MKTP.CN	GDP (current LCU)                                           	GDP_LCU
11.NY.GDP.MKTP.KD.ZG	GDP growth (annual %)                                       	GDP_PctGrowth
12.NY.GDP.PCAP.KN	GDP per capita (constant LCU)                               	PerCapita_GDP_LCU
13.NY.GDP.PCAP.CD	GDP per capita (current US$)                                	PerCapita_GDP_USD
14.SL.GDP.PCAP.EM.KD	GDP per person employed (constant 2017 PPP $)               	PerEmployed_GDP_2017PPP
15.EG.GDP.PUSE.KO.PP	GDP per unit of energy use (PPP $ per kg of oil equivalent) 	EnergyUnit_GDP_PPP
16.NE.CON.GOVT.ZS	General government final consumption expenditure (% of GDP) 	GovtConsumption_PctGDP
17.NY.GDS.TOTL.ZS	Gross domestic savings (% of GDP)                           	DomSavings_PctGDP
18.NY.GNS.ICTR.ZS	Gross savings (% of GDP)                                    	Savings_PctGDP
19.NE.IMP.GNFS.ZS	Imports of goods and services (% of GDP)                    	ImportGoodService_PctGDP
20.NY.GDP.DEFL.KD.ZG	Inflation, GDP deflator (annual %)                          	Inflation_Pct
21.NV.IND.MANF.ZS	Manufacturing, value added (% of GDP)                       	Manufacturing_PctGDP
22.TG.VAL.TOTL.GD.ZS	Merchandise trade (% of GDP)                                	MerchTrade_PctGDP
23.NY.GDP.MINR.RT.ZS	Mineral rents (% of GDP)                                    	Mineral_PctGDP
24.NY.GDP.NGAS.RT.ZS	Natural gas rents (% of GDP)                                	NatGas_PctGDP
25.GC.NLD.TOTL.GD.ZS	Net lending (+) / net borrowing (-) (% of GDP)              	Lend(+)Borrow(-)_PctGDP
26.BX.TRF.PWKR.DT.GD.ZS	Personal remittances, received (% of GDP)                   	Remittance_PctGDP
27.GC.REV.XGRT.GD.ZS	Revenue, excluding grants (% of GDP)                        	RevenueExGrants_PctGDP
28.CM.MKT.TRAD.GD.ZS	Stocks traded, total value (% of GDP)                       	StocksTraded_PctGDP
29.NY.GDP.TOTL.RT.ZS	Total natural resources rents (% of GDP)                    	NatResourcRents_PctGDP
30.BG.GSR.NFSV.GD.ZS	Trade in services (% of GDP)                                	InServiceTrade_PctGDP
31.FM.LBL.BMNY.GD.ZS	Broad money (% of GDP)                                      	BroadMoney_PctGDP
32.BN.CAB.XOKA.GD.ZS	Current account balance (% of GDP)                          	CurrentAcctBal_PctGDP
33.FS.AST.DOMS.GD.ZS	Domestic credit provided by financial sector (% of GDP)     	CreditByFin_PctGDP
34.FD.AST.PRVT.GD.ZS	Domestic credit to private sector by banks (% of GDP)       	CreditByBanks_PctGDP
35.GC.XPN.TOTL.GD.ZS	Expense (% of GDP)                                          	Expense_PctGDP
36.BX.KLT.DINV.WD.GD.ZS	Foreign direct investment, net inflows (% of GDP)           	ForeignInvstInflow_PctGDP
37.NY.GDP.FRST.RT.ZS	Forest rents (% of GDP)                                     	ForestRents_PctGDP
38.NY.GDP.MKTP.KN	GDP (constant LCU)                                          	GDP_LCU
39.NY.GDP.MKTP.CD	GDP (current US$)                                           	GDP_USD
40.NY.GDP.PCAP.KD	GDP per capita (constant 2015 US$)                          	PerCapita_GDP_2015USD
41.NY.GDP.PCAP.CN	GDP per capita (current LCU)                                	PerCapita_GDP_LCU
42.NY.GDP.PCAP.KD.ZG	GDP per capita growth (annual %)                            	GDPGrowth_Pct
43.SE.XPD.TOTL.GD.ZS	Government expenditure on education, total (% of GDP)       	EducExp_PctGDP
44.NV.IND.TOTL.ZS	Industry (including construction), value added (% of GDP)   	Industry_PctGDP
45.MS.MIL.XPND.GD.ZS	Military expenditure (% of GDP)                             	Defense_PctGDP
46.NY.GDP.PETR.RT.ZS	Oil rents (% of GDP)                                        	OilRents_PctGDP
47.GB.XPD.RSDV.GD.ZS	Research and development expenditure (% of GDP)             	RnD_PctGDP
48.NV.SRV.TOTL.ZS	Services, value added (% of GDP)                            	Services_PctGDP
49.NE.TRD.GNFS.ZS	Trade (% of GDP)                                            	Trade_PctGDP
50.GC.TAX.TOTL.GD.ZS	Tax revenue (% of GDP)                                      	TaxRev_PctGDP
