Country_Name,Country_Code,Series_Name,Series_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,ARG,Tractors_num,AG.AGR.TRAC.NO,,120000.0,130000.0,140000.0,150000.0,155000.0,160000.0,165000.0,170000.0,175000.0,168350.0,171000.0,174660.0,180000.0,180000.0,180000.0,180000.0,180000.0,173000.0,171400.0,166700.0,213000.0,203700.0,201800.0,203700.0,204000.0,225000.0,245000.0,267782.0,266100.0,264500.0,262850.0,261200.0,259500.0,257800.0,256100.0,254400.0,252700.0,251000.0,249300.0,247600.0,245900.0,244320.0,,,,,,,,,,,,,,,,,,
Belize,BLZ,Tractors_num,AG.AGR.TRAC.NO,,211.0,269.0,314.0,402.0,400.0,450.0,500.0,525.0,550.0,573.0,596.0,619.0,642.0,665.0,688.0,710.0,734.0,757.0,780.0,803.0,825.0,845.0,870.0,893.0,940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Tractors_num,AG.AGR.TRAC.NO,,1300.0,1400.0,1500.0,1600.0,1700.0,1800.0,1900.0,2000.0,2100.0,2200.0,2300.0,2400.0,2600.0,2800.0,3000.0,3200.0,3400.0,3600.0,3800.0,4000.0,4200.0,4400.0,4500.0,4600.0,4750.0,4900.0,5000.0,5100.0,5100.0,5200.0,5300.0,5350.0,5350.0,5350.0,5500.0,5600.0,5700.0,5700.0,5700.0,6000.0,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,Tractors_num,AG.AGR.TRAC.NO,,72000.0,82000.0,93000.0,103000.0,114000.0,124000.0,134500.0,145000.0,155400.0,165870.0,183500.0,201000.0,218500.0,236000.0,323113.0,350000.0,370000.0,428000.0,485000.0,545205.0,569000.0,593000.0,617000.0,641000.0,666309.0,678803.0,691297.0,703790.0,716285.0,728779.0,741272.0,753766.0,766260.0,778754.0,791248.0,803742.0,802173.0,800604.0,799035.0,797466.0,795898.0,794329.0,792760.0,791191.0,789622.0,788053.0,,,,,,,,,,,,,,
Chile,CHL,Tractors_num,AG.AGR.TRAC.NO,,33550.0,33600.0,33650.0,33700.0,33750.0,33800.0,33850.0,33900.0,33950.0,34000.0,34050.0,34100.0,34150.0,34200.0,34300.0,34407.0,34400.0,34395.0,34385.0,34380.0,34370.0,34365.0,34360.0,34350.0,34340.0,37920.0,41270.0,37450.0,36620.0,35750.0,37570.0,39900.0,41710.0,41312.0,43201.0,44265.0,53710.0,53730.0,53750.0,53770.0,53790.0,53810.0,53830.0,53850.0,53870.0,53890.0,53915.0,,,,,,,,,,,,,
Colombia,COL,Tractors_num,AG.AGR.TRAC.NO,,18241.0,19251.0,20380.0,20125.0,20535.0,20800.0,21147.0,21542.0,22157.0,22713.0,23469.0,24051.0,23800.0,23753.0,24187.0,24621.0,25594.0,26500.0,27500.0,28423.0,29500.0,31000.0,32000.0,33066.0,33450.0,33757.0,34232.0,34200.0,33000.0,32000.0,31000.0,29000.0,27000.0,25000.0,23000.0,21000.0,21000.0,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,Tractors_num,AG.AGR.TRAC.NO,,3800.0,4200.0,4454.0,4500.0,4600.0,4700.0,4800.0,4900.0,5000.0,5100.0,5200.0,5300.0,5432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,Tractors_num,AG.AGR.TRAC.NO,,28.0,32.0,32.0,36.0,42.0,48.0,54.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,Tractors_num,AG.AGR.TRAC.NO,,1558.0,1565.0,1620.0,1700.0,2000.0,2313.0,2450.0,2700.0,2900.0,3100.0,3400.0,3700.0,4200.0,4945.0,5100.0,5208.0,5440.0,5564.0,5880.0,6198.0,6844.0,7186.0,7400.0,7600.0,7800.0,8000.0,8200.0,8400.0,8600.0,8700.0,8800.0,8900.0,8900.0,14150.0,14200.0,14300.0,14500.0,14550.0,14600.0,14652.0,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Tractors_num,AG.AGR.TRAC.NO,,1950.0,2100.0,2250.0,2400.0,2550.0,2700.0,2850.0,3000.0,3100.0,3150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
