"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.9691155627948","20.1608822207738","23.5943665259027","21.9759572961856","21.8560806275354","21.410594367642","24.5272039569392","25.1510791366906","24.7097844112769","23.1637001754826","23.130393096836","22.6497695852535","21.6620380260628","21.978021978022","25.3744690364409","27.1558775414817","25.9859772129711","28.1022702226141","26.1933038710376","24.8237312527156","23.2556377781347","23.487580297176","23.0215503751057","23.5598474209043","","","",
"Africa Eastern and Southern","AFE","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.7373275326047","16.0689477338756","17.6053204608515","16.8937285120081","17.5448837386997","16.1671591624554","16.6031616882519","16.5840256893763","16.4761868275824","16.4290090049049","15.3737498852414","15.6079575805166","15.3423841585289","16.159929289792","16.0852013726755","15.3686468422597","14.6364761821894","14.6883109009801","14.9551154536665","15.4298343351482","15.6759802153078","16.1805320515158","16.3609718222941","17.122003114974","16.6361793460862","17.3057643993712","16.0930775758901","15.6568535992798","15.2503168616477","15.1038926679841","15.5087360387557","",
"Afghanistan","AFG","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","4.07044777467145","4.42997361518126","5.142156611197","5.64448049377067","5.69194873830793","7.75485800176088","8.17795036415212","8.13775491934973","8.26581964304974","8.33770260154504","8.60054827642582","9.19893090833688","10.6022519818805","7.96278879661299","6.99070643795201","6.35554689682865","6.07207766723153","6.61009670581017","6.10575342391609","5.92867759150579","6.08785754162721","5.48813649203799","5.53271679111227","7.44039236506425","7.00784770664445","7.12340519941736","10.1009613839417","9.97863907544422","9.8458138679363","9.80572660227604","10.2772760096169","9.86726948090732","9.1128781374742","8.60914870785781","8.26648813546838","8.25287317859955","7.79307189821167","8.44391574611478","8.23888153703327","10.461039784042","",
"Angola","AGO","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.1546327243358","19.1305785372378","21.854259210424","14.3120598095328","16.0290371753303","15.3417224061598","15.5369347037304","16.8146114613451","19.8985903407746","17.042343917732","18.2358605300281","17.8426343702592","21.6219487360425","17.9756599893925","16.4328322487885","13.8806820723169","12.9358215152381","10.474544743401","10.0041205703026","10.1545892511949","",
"Albania","ALB","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","9.3116515041052","8.84353390708875","8.89861279321276","9.09399523742266","9.75153050082957","9.63955140756505","9.61342983715576","9.99617333989332","9.80506206927652","9.13190329724955","19.1885468896252","22.8753325986112","21.4082882933696","14.6384098004022","14.6234019156112","13.8271152568861","9.45360226582805","10.4480085958156","10.8444061031888","11.0555755938989","9.69245349651536","10.625955499078","11.3351367908612","11.0984229894148","11.2058669623781","11.031267292825","10.5272906437808","10.4774392871051","10.3789563199331","11.109434443885","11.1573603733327","10.9741654774939","10.844815956651","11.0254938139466","11.4518682295269","11.1106353102927","11.2693152160404","11.498400987976","11.2865596118116","11.3481538709805","12.0713397470031","",
"Andorra","AND","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","18.0198591382064","18.498761996663","18.0864066429325","18.0474653941178","18.1326634426922","17.7965325914414","12.9959007418095","16.6297464584729","17.5461212075494","17.4475427824514","20.259428439375","18.3594637498729","15.8630982879733","19.0925449251057","22.8878964021422","25.0210272134668","23.9657728584821","23.801576555545","25.6849841848521","24.580400353293","23.928539630485","23.5833543011736","17.8381994413744","23.271387387643","22.0216138577341","19.5184237074335","18.3211859467654","17.5180747485616","17.3040459795508","17.7674114563138","18.6152432522049","17.0137659173005","16.5799518121691","17.3458562346488","17.3414351964562","16.6242969862838","16.4951962119521","15.1553500004896","14.4148255052662","14.1001203404837","12.9704540020191","15.8688835734612","15.2280290526494","15.7445893818459","15.6462806079324","16.9101773907502","18.3744551610619","20.4207440302709","19.3291944925221","18.6322417886391","18.0445888346521","18.2475476121627","21.3613151053471","",
"United Arab Emirates","ARE","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.91402351533425","10.146486288123","9.75023354253255","8.74669751420651","7.87259315554192","6.91782205479066","6.73299787689361","7.2968356174588","10.2341429132446","10.0310717748937","9.95331480073706","9.73043954861727","10.9844278863939","10.9318643707181","12.4285782713718","12.5265106295682","13.2119351826715","11.8192185421443","12.2778828012393","","",
"Argentina","ARG","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","9.88044509523395","7.78963204832989","12.1923745358372","10.2521949603684","7.22902581011462","8.08948631250583","10.8043385563998","9.73927816603499","9.82935062849218","9.50117537009171","9.74254326207249","10.1462160701663","9.3516969606052","11.5393235681285","13.1532327349931","12.5891776401825","9.42009472794214","9.0154099769469","11.1661116653801","11.0078459556516","","","","","","","","4.7144944990421","4.32191028434568","4.49439596541391","3.13542839161188","3.32176128752774","2.97553802761558","13.5103784728742","13.1869043660659","13.3494556774505","12.5016776609201","12.0620142457633","12.4947749986829","13.7232114149469","13.7841913064131","14.1562743129569","12.235247296692","11.4380567929249","11.114636067696","12.1418612359575","12.4294153726307","12.9893238963619","13.6335132595631","15.903896746884","15.1637178886417","15.6889565165983","16.6454378106252","16.8062377968797","16.9498757371062","18.098379759087","17.6545781863509","17.6968939223042","15.8050971558947","15.2094887555093","15.5314105488087","",
"Armenia","ARM","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.3064997018485","18.5092232400552","18.5466971855959","17.1936819797033","11.5430460348078","11.3229912230238","11.3430091616755","11.4771831087164","11.2920970499034","12.230469548754","10.7986680994975","10.3413384803578","9.16904182303383","9.38479580771821","9.3562321018201","9.71001179777312","9.26564058035311","9.39819198234112","9.39590568718206","12.2837259772012","12.0437077284519","11.9102932556784","10.9099638916146","11.9350654316666","12.0858534859076","13.1115978061212","13.4541585167703","12.3185519874739","11.4866903221706","12.5645600985114","16.0354830667684","",
"American Samoa","ASM","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.1875","42.175572519084","44.5972495088409","44.8","45.4361054766734","42.4710424710425","43.0357142857143","40.7407407407407","52.8795811518325","59.1228070175439","51.40625","49.0595611285266","53.343701399689","55.1263001485884","47.6900149031297","51.1437908496732","52.2691705790297","48.1481481481481","49.3653032440056","",
"Antigua and Barbuda","ATG","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.931126597784","16.2240961130032","18.272105526542","17.982899589146","17.3099631598709","18.5678957063331","19.1614219283235","17.295625672284","19.4743904131773","22.0026104792094","18.5229233610262","18.3226149391729","16.4627081824765","15.017484139502","15.3140825798079","17.7633481924421","19.5296834906784","17.8623822743262","17.5444879249386","17.584093139827","17.1728982949362","16.717047785009","16.2609425696925","15.7415037718045","16.0272307079025","15.2422043103746","15.0912881830592","19.3361136938612","",
"Australia","AUS","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","11.189358372457","11.425320056899","12.0748777334308","11.7870327042063","11.4718614718615","11.9982754904074","12.9177773221243","12.889935256033","13.7267654811214","13.169704185365","13.286372256841","14.0295698258996","14.5390070921986","14.7398205936064","14.5774671216086","16.9409486931268","18.0349496863643","17.6108732698782","17.9905608312558","17.5159316098292","17.3674751585545","17.9673249786759","17.8965080123013","18.8166623566479","18.4781490040512","19.0553662908748","19.1420483748475","19.0911250707493","18.1966965532333","17.5232584986894","17.3658881426901","18.333080463258","19.1840216245847","19.0699161222643","18.5063585202457","18.1552706408965","18.0967622333704","17.7723606174844","17.7451676341022","18.1390959280041","17.9159828447596","17.8967560183186","17.6877599827417","17.7301217430312","17.607004905055","17.6748804063211","17.5922142230448","17.4645553897597","17.3805360192843","17.7200849208389","18.1076525607549","17.9254784194632","18.1487714394681","18.0738896185633","17.9749435896089","18.3487380229385","19.0888943045488","19.0395233596731","19.10636556904","19.472898344901","20.8618856601103","",
"Austria","AUT","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","14.3153988801848","14.3930114246765","14.2445709952115","14.6867464368584","15.348540291242","16.7899777326513","17.1817693745386","17.0109076954887","17.6562142158354","17.5220942244756","17.5341440555041","17.9647048904059","18.3466781011049","18.3463214751647","18.3887310915946","18.5778439047332","18.7854382881422","18.7520822565685","18.5135052492305","18.1859860514548","17.9756738660758","18.1577955514132","18.4899116879537","19.3004158667799","19.4443661360991","19.5896579303121","19.5657433008979","19.6007911245516","19.5530546720414","19.8436668661919","19.2197165554154","18.9761681528468","18.8386965201083","18.979639912386","18.8913590714454","19.3462734216739","19.2582902718553","18.7447920696102","19.2721309580265","20.6842134754264","20.4925476679965","19.89656808887","19.8606923693557","19.9159427520344","19.8028420386289","19.7616905815254","19.6511011570073","19.4892640109278","19.3318630043618","19.4676857084452","21.199544258819","",
"Azerbaijan","AZE","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.5989085948158","19.4236526946108","17.7195493869422","30.140127388535","23.5111822791567","12.7940762958103","12.017858449828","12.6112148940886","15.1572400162762","15.6128314481736","15.1501663805345","13.6466250282188","12.4041237113402","12.3892814664521","12.9000492368291","10.4220403274107","8.53986407912003","9.66026692054089","8.49511176664042","11.1234077215848","10.8814317673378","10.1276832686917","10.5259600648111","10.2832491148465","10.8858730371216","12.4082383229128","12.8320634437288","11.3414124411056","10.4664635668981","11.1234709302752","15.9308981364642","",
