"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3986419309119","14.9866606211009","17.1327192233916","17.5136636772655","15.549271842299","15.8253515750802","15.9113471050335","15.2834244604317","16.7927031509121","17.5977187264979","18.5044103547459","19.5727649769585","18.9801110873745","18.0314000814001","16.175408003577","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.164426555913","28.7236680204313","29.2390189285892","28.0933373715557","28.2555441032857","27.768181039185","27.841113140817","26.9065151118363","26.0258233881061","25.8768309012504","26.8914419743587","26.8419571226768","27.4521787571847","26.7013245276132","27.0454109855156","28.0039667778422","28.0285862582515","29.1921842489807","30.6498286720558","26.4918433749206","27.4324079510012","28.5798579536271","28.3885725517805","27.8447097723785","27.3938880955851","25.6744718674631","26.0366805342176","26.2171297083634","27.0765912525849","26.986005131607","25.8546227393787","",
"Afghanistan","AFG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8101270064854","22.7108641828326","26.2267897500666","26.8120992326398","28.2107680719994","26.8822416082148","26.9156280026285","21.8971222069406","21.1514206977128","22.7402524820273","21.1578071539751","20.4446053132561","21.2296632181805","22.1240424906926","10.4668076938201","10.0518739969063","13.3872469597976","14.0581123697768","14.0316990961127","",
"Africa Western and Central","AFW","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","39.3035714853568","35.4885724318242","34.500486479822","31.7247580099091","34.1576335404215","31.3446702698045","30.7198584666519","29.6521681587467","31.3500785558414","32.583273899355","32.4750736892104","32.2164685210282","29.7153422725225","30.7012062231139","32.7493978826152","32.3020197312043","31.5969666997433","27.2357653063067","28.1855394398978","32.1099793238943","28.1073666606294","25.3094651446924","27.2775738752178","29.3499951752815","28.9222843625293","27.5147482287833","26.3611038788174","27.4116197425672","24.1032030689733","26.7868272555876","29.7067045856091","29.1055451468745","28.2531932882","26.9040281034037","22.6113725092952","21.0341822846857","24.1285393021598","26.4371156511755","27.1309796146971","27.0478929645063","",
"Angola","AGO","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.2851757873636","67.8206759362436","60.757741389497","55.1572893027623","72.7173723137849","72.1229549419033","64.8838115415289","56.0757965388459","53.1169963887799","54.6299213113549","60.4019934569532","58.109331166465","61.8835378515421","60.2548201250717","44.0563761691749","52.3684348885467","56.026514743024","56.9182197485493","53.3628539821467","46.2033255675024","41.9330926455315","42.643566778715","42.1679535486771","47.9315416320185","49.986772065329","45.9484598219562","",
"Albania","ALB","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3738406921901","18.1097656674433","15.3468382322371","16.5367430578412","19.3956891374484","21.7357737789933","23.10636959577","24.055608509483","24.6655622675068","25.0816065897088","25.3080259185205","25.3403319220157","25.1610103305709","24.4137783931968","24.9374619346668","24.4844782196853","22.9185533432722","23.0613168520051","21.5088457362369","21.7636809971645","21.1419653523072","20.3583670021185","21.2793061291073","20.6082652718018","20.0626466995345","",
"Andorra","AND","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","53.7789763790981","55.577675967643","53.9664548333927","50.175072115277","55.5501043971636","61.1028445433916","58.332818161286","50.0015166372007","43.1941593427722","40.8829466316796","37.8276523603923","32.3943748705932","33.1649949964936","34.0392325600492","36.0990627686228","54.0521776223028","38.5876430637068","39.6056233574076","37.1806257209656","36.8126606439678","38.6141828250187","40.3819573657836","41.3164608782548","37.1611619571242","40.85806361659","46.6993661163437","44.0545650831819","43.8801044030985","44.4529821716849","46.3899089332315","50.0038386595561","51.17527495337","49.759376091322","51.9644996027343","44.1340671823836","46.5502957260711","53.4223719989443","52.8473603781335","51.3417216834788","49.5653703441962","40.4446352954074","38.438886771761","40.7027191062534","43.975111438519","42.1931522706005","36.9515515009207","",
"United Arab Emirates","ARE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","73.995507005299","71.8147226501297","67.9817061865227","68.058799882661","71.3555523848691","72.6636063301946","68.3633070683534","63.1520519771899","61.4041786789367","62.8107143089844","61.2521468441391","52.1543733498118","54.6811011537108","53.0142376546918","55.0769292067955","58.9023505708529","46.7783014879946","55.2980232231106","51.4799216454456","46.2603750878466","45.5451739211502","46.3670023696682","45.4284115017034","40.0235324596818","42.0206625694073","48.5170116316395","49.6763412859899","47.5457475824448","49.1210129154604","51.6783480847693","55.6434763024807","57.903111718071","54.840228590251","58.0179784435584","52.044956000368","52.5308621988942","58.0355992952437","57.449131719203","55.0061258140395","52.7646083574634","43.8938141693106","41.4486936338511","42.5746249848471","47.0329278956723","44.4596642765206","40.8667704467958","",
"Argentina","ARG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","48.4144764220088","49.605814661101","47.3834143823114","47.0360652886282","47.3861283042889","42.278789634459","45.9547284532329","45.581648950747","43.3522399337902","43.5928026239928","50.141323678472","50.8936968312364","47.8061321945614","46.0976480124721","44.0281237958525","41.2196656664295","40.3382267073251","41.1028486443199","41.5563065120102","39.70818793304","39.2761545711593","37.3804348914774","37.8286752699048","38.4866110820983","42.3478130695861","36.0218813478135","32.7225282556322","30.6839549022114","27.338739645861","26.7545586932878","26.3012103355498","26.5925606398683","27.1791508883114","26.7121357626278","26.1936304991129","25.9908360111364","25.2434339827333","30.5577370913046","32.6450990996503","28.816922006834","28.6263140439084","29.2032796652469","27.4152361334783","26.2724599395946","25.2842047993735","25.2587762576722","25.2126976058843","24.4290570649122","24.0058814423072","24.2773944936602","23.153056135905","22.0541072112108","21.782123219335","23.7195923321304","24.052388220108","23.3112183791703","",
