"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",
"Africa Eastern and Southern","AFE","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","0.703625386324565","0.705841997079903","0.697400732066222","1.02695325173635","2.01032364678581","2.32198401776274","2.32344895896773","2.08544515398921","2.04095567868898","2.06474656474351","3.05060466016321","3.56762596156239","2.30736180006982","2.28072331013365","2.96304501722034","2.11564818420444","1.26107893080209","1.4795004676358","1.66427089467509","1.61621252335911","1.51514741442552","1.34909919245351","1.1004401701659","1.14871010016123","1.53486692754721","1.3699568739905","1.13525217787175","0.905819492789617","0.621724139246202","0.815328162493877","1.52384288465564","0.970420971497409","0.90323646123168","2.21181610243405","1.54732308306186","1.492195360324","1.83109548984548","3.74448731064192","1.29480367256282","1.93089956415151","2.16492402117666","1.48013736400857","1.16435015780774","0.85346036268888","0.624928087937997","0.736992565198991","0.917178040174926","1.05091755140523","0.791680409757123","","",
"Afghanistan","AFG","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","0.0515362559424427","0.0869930395810375","","","","","","","","","","","","","","","","","","","","","0.00434099089229203","0.00742179054796238","0.016454884640078","0.0109036309490409","0.0111524113991172","0.0764152044481749","0.224465173426611","0.126422320655726","0.212188085387117","0.495356516225989","0.270285101037537","0.237255122486996","0.226599986405594","0.162117663035533","0.247302339719322","0.397626964335567","0.535542773023099","0.373839670727645","","",
"Africa Western and Central","AFW","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","0.00469740702811975","0.00753573360645583","0.00719401609512108","0.00776268266300943","0.00974679492381013","0.00481364426656434","0.007147233151264","0.00628492629620443","0.00406488385713953","0.0045739299589392","0.00266880004705658","0.00212474195711853","0.00317002986738244","0.00379776739402475","0.00543253120401007","0.00413253541865117","0.00333993399607721","0.00326939036616129","0.00446194541893837","0.00407025666108371","0.00427017049064857","0.00356939357152927","0.0031305408813729","0.00279996308759355","0.00314388961022088","0.00220638123463151","0.00178486869401824","0.0012780440999535","0.000851976252403458","0.000516469498543548","0.00087242456187275","0.000778671967268618","0.000670835949591273","0.00175670692751995","0.000906668107893469","0.000735237994122229","0.00101245183672329","0.00204577524039278","0.000827978007932894","0.00167270978445382","0.00175016986866596","0.00115821204573469","0.00078547630361468","0.000582029843199663","0.000411770866811908","0.000541212530792585","0.000754428362534921","0.000788226017139811","0.000540018450076463","","",
"Angola","AGO","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Albania","ALB","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","0.368325704156816","0.556625381988312","0.152296785525418","0.048179542902903","0.0768914986372058","0.0909233961034251","0.224522159849684","0.204425722951728","0.0676891703700421","0.00230365036031502","0.00150284438353918","0.00281494122041657","0.00171115709984289","0.000352536799849674","0.000770609696589599","0.000110313316813777","0.000620563515184904","0.00127713646027997","0.000274594917235555","0.000890331430195623","0.00682202066302214","0.00307783255631526","0.00293141302764867","0.00403006491283054","0.0139850941802249","0.000729610825634702","0.00139476728328413","0.000801741060480121","0.000360916327692827","0.000108032600719083","0","0.00592411499204703","0.000387679986896928","0.0155765293228522","0.0335834077224718","0.0243771283513862","","",
"Andorra","AND","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","0.000691431907750232","0.000924566837949083","0.00129129082649227","0.00279147789626905","0.00743536693680309","0.00471775862727083","0.00415569147177683","0.00317392895582267","0.00290671524572097","0.00264996689704279","0.00421341559149303","0.00507057792681331","0.00296304817749459","0.00228153835300006","0.00255640333645055","0.00142923020295733","0.000315201714930876","0.000698871833469243","0.000828660208109209","0.000701628438009708","0.000985742720816645","0.000696809660701706","7.72554942029035E-05","9.65584924366115E-05","0.000828333167955934","0.000374960768367148","0.000114992779807631","0.00010576323085069","0","4.85909973031525E-05","5.93165095952805E-05","2.7803768935928E-05","2.62975176987269E-05","0.000158992892572084","6.1614438515282E-05","5.67362343115277E-06","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"United Arab Emirates","ARE","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Argentina","ARG","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","0","0","0","0.0016983586345765","0.0089006728781816","0.0113030405774611","0.00898876651050769","0.00542477151323788","0.00709634906568885","0.00654676904073181","0.0157241281179645","0.0161689598050609","0.0057698781815577","0.00504687697687971","0.00460042566995824","0.00123361927403076","0","0.000155693592248752","0.00220056459058165","0.000737055720447168","0.000527205608502199","9.895430510532E-05","0","0","8.99104632401128E-05","9.48077597122831E-06","0","0","0","0","2.83391898626282E-05","0","1.82082829906704E-08","0.000555633250120936","0.000123145308810451","0.000663039729829792","0.000868097726885652","0.00300687173912129","0.000361862457158003","0.000573381120638496","0.000910413672952206","0.000571810044832391","0.000378984643087802","0.000211509398765555","8.62683462392086E-05","7.00203274155281E-05","6.91602190315363E-05","0.000118583173820324","0.000100896618516774","","",
