"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",
"Africa Eastern and Southern","AFE","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","3.84847632463802","2.35707765262476","2.1585338833413","3.57441757932485","4.13879122563665","1.52946052962304","1.77087580769107","1.44867072652052","0.983126824683598","3.2583808593808","6.99592104852703","3.89428961640982","2.69953851973404","3.46132296538927","0.893895009376259","2.40449181270061","2.05233668458007","2.40951985193154","3.26484380492957","2.68143072038695","1.7654381868861","1.60208229523815","1.20153828156735","1.34427804073095","1.62325346146965","0.599127718261192","1.00684691936258","0.635260328090734","0.460488872888949","0.335101976129576","0.52880487927641","0.562694666483729","0.676779490838705","0.247738969836167","0.436222549669518","0.766034311638294","1.41641096624483","1.6368449109694","1.70240179796296","1.08500252488928","1.7788406656933","2.06628891914808","1.63639030461201","1.57321373677903","1.12345666871122","0.543596040451992","0.752991232412317","0.963740388744314","0.85811892062675","0.76757274183748","","",
"Afghanistan","AFG","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0.00231224809840658","0.00300190500195251","0.0019986339610226","0.00281554899862861","0","0","0","","",
"Africa Western and Central","AFW","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","0.209126708143088","0.233306288572179","0.222485323335824","0.233165589399147","0.637010390105958","0.453125250373141","0.29333021179931","0.506691305316659","0.188036792868471","0.234410325856206","0.288854704120474","0.125631680933971","0.117829811307514","0.142875927806173","0.161352517510333","0.166250717888122","0.484142624258831","0.407654391250431","0.44230682039323","0.57949257577442","0.474085701736337","0.530772967959605","0.45528954394221","0.497799596086007","0.620354888495043","0.261018793331764","0.330920199850125","0.299716087635346","0.278798038015043","0.210502599387222","0.259233659912537","0.276903085265515","0.279102716312523","0.124408140033835","0.156918771563456","0.278862624652283","0.416705734824122","0.552100144956745","0.575353364688858","0.617173143416299","0.778793282562652","1.08406512206947","0.949877026463797","0.686521383124524","0.538870314866935","0.39487456247029","0.540764144526607","0.667332460680845","0.670429310036857","0.16402941428836","","",
"Angola","AGO","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Albania","ALB","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","0.604964557441727","0.692259344343204","0.440841190981462","0.67423879239664","3.64766860240634","3.65113125208662","1.48916309567935","2.32270804661255","0.431830628064928","0.146794463403927","0.0450273115750504","0.0371836556150219","0.0374604538014767","0.00860042680663119","0.0183314756869936","0.00567240663721028","0","0","0","0","0.00996934636027783","0.0251232356467977","0.121229693427626","0.834611560223794","0.0787066190414712","0.0418366472475093","0.142023626881312","0.218928050575802","0.165774446105847","0.111634544895119","0.105381286314614","0.0657948685311849","0.00269413258140529","0","0.0408942210120846","0.0253243204495948","","",
"Andorra","AND","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Arab World","ARB","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","0.175103034115477","0.137199605880472","0.113689400658618","0.162946616697919","0.929521388935203","0.705501763915447","0.258887977746974","0.521073518581069","0.10410807530994","0.117427273957451","0.124733965306114","0.144095268924488","0.126651295116817","0.117330351564928","0.0810245716730176","0.108370023451225","0.0639413977523657","0.0331109215714573","0.176037344435521","0.0516581454612872","0.0356833652806834","0.0193958112480762","0.0242446459180641","0.0195324688786643","0.0290108920791412","0.0257783378706849","0.0203930981122426","0.0165514195331689","0.0199924520221726","0.012488937514371","0.0117002944499817","0.0133766490819677","0.014418515652629","0.00606944419190624","0.0427274331505037","0.0731722669300187","0.0922411941693871","0.156906703935067","0.558339757085393","0.459876544000325","0.288144470658438","0.379525404000869","0.363132641107836","0.227910718137359","0.177876413315146","0.178889183182012","0.193572257578414","0.180937709965354","0.121515432477045","0.0506522172623978","","",
"United Arab Emirates","ARE","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Argentina","ARG","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","0.0256683352034899","0.0171747749447794","0.0259318087569674","0.0558110074993531","0.0667695801871732","0.0299988854708558","0.0389514934949596","0.0431008315613284","0.0311657519729079","0.0592260663254491","0.0659179105457609","0.0302226498666427","0.0189869916691021","0.0221780683651124","0.0280564672550294","0.0225924358048993","0.0110467849399214","0.0121393095850074","0.187625494530018","0.296510962884838","0.0601100126165773","0.012867514717022","0.00825984031758623","0.00284337800537106","0.00487394228503146","0.00619887326073235","0.00551745224916157","0.00453797627963355","0.0142563463089928","0.0222519842190338","0.00202036683796065","0.00111911782328319","0.199715933166906","0.189784318206542","0.226514388267012","0.208636558543312","0.550800475558765","0.431151753754959","0.308451875238155","0.299003273108525","0.522757823355919","0.516428050320874","0.431941961116383","0.230446240075718","0.237871699460555","0.0765780458778841","0.145542032255227","0.102304062124549","0.184786908826945","0.0533051968560682","","",
"Armenia","ARM","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0.265073153815918","0.269481476567989","0.464298157909978","0.551537787502016","0.281076396852519","0.291894852313429","0.0881702579442782","0.148454245918945","0.271357452426392","0.280957151768713","0.570610604296184","0.00616525937757393","0","0","0","0","0","0.0329940571447469","2.35660274172085","2.46981729046904","1.13714199273652","0.864490764173176","0.0660727004653372","0.495863085048531","0","0","0.826353694971407","1.87361295039531","","",
"American Samoa","ASM","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Antigua and Barbuda","ATG","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Australia","AUS","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","1.47284081605044","1.41454799660718","1.31690792515231","1.85027048700908","2.09559951007052","1.63117307502659","1.95359711951608","2.01980941057856","1.52228007484597","1.78152855786147","1.99570387992169","1.34848148960193","1.3396219033735","1.24756000874374","1.34941055252373","1.52192904554069","1.29464554206635","1.4210563361992","2.81740916796121","1.51736676967036","1.51290764372677","1.27121885270739","1.19891779737105","0.939862536507804","0.946044481626508","0.864463752084723","0.825735714965676","0.771565573027335","1.02687125867265","0.9036252951363","0.94551226565072","1.152158089898","1.02967508787022","0.758536638557955","0.905632150199223","1.90841009768409","2.81177038414145","4.26010737667337","4.13283603649749","2.378397142799","4.86581217711434","5.03480158393","3.04663415508253","3.55389151045604","2.91591729336436","1.85031914163491","2.5834771004582","3.17946648277985","2.8518880552556","2.97336542733231","","",
"Austria","AUT","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","0.0186908505302876","0.0126810777483374","0.00958974253151317","0.0385820996279369","0.0474352510155266","0.00778793910560063","0.0166956634058373","0.00881553842184934","0.00229521174578332","0.00532624078593471","0.00215982201053631","0.00148397898080304","0.00766845497687187","0.00314198708083392","8.68113889332785E-05","0.000656402206081244","0","0.000254474102127884","0.0104169972119264","0.0138429654571093","0.00397445447866724","0.00415544595927586","0.00820807389760607","0.00503668040052388","0.00250431456676951","0.0026722588556118","0.00171639792186099","0.00156140613682273","0.00873918470124551","0.00731751952990741","0.00672434241621096","0.00480232653437913","0.00395526625592721","0.00186276363028459","0.00195690439082546","0.0134992984622168","0.0140149373097771","0.0336321107913634","0.0397348690504275","0.0110161821989768","0.0450632050714529","0.0489415601633668","0.0307456197360973","0.0336122979061083","0.0184424826926218","0.00915039643730495","0.011750392938466","0.0153961308685812","0.0120664514614034","0.0155876929355595","","",
"Azerbaijan","AZE","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0.177294199157055","0.12221436057824","0","0","0","0","0.00157556125353263","0","0","0","0.000284928321553914","9.80149004886355E-05","0.000682308770738501","0.0011478644770017","0.001211635226898","0.00323360202584756","0.00483826512861032","0.0128771526845173","0.0949973896927963","0.116719549486449","0.0878361306000124","0.0579827506327571","0.0506031083753953","0.0731851344259889","0.109557378108761","0.30949896740297","0.152776194656631","0.00788048682353514","","",
"Burundi","BDI","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","0","0","0","0.0117291759567556","0.0817688848532974","0.0205842913087558","0.033348253732398","0.0770939407107378","0.0856189960251044","0.0896739895110256","0.0853503713397544","0.00210009666105461","0.00127991385368275","0.00445530967731922","0.0148994200634695","0.0065806710154964","0.0085210338418452","0.0140834356634274","0.0121416037315269","0.00428118869636579","0.00175158968155023","0.00870053559955553","0","0","0","0.279591504296262","0.90906014044372","0","0","0","0","0.095659396158456","0.151905255891115","0.083895600043621","0.103358958494784","0.13098042534667","0.321245039280319","0.345131801914452","0.390316646106041","0.271088031135548","0.189455216953012","0.384587492029304","0.434080254570607","0.217090325228715","0.261465662285301","0.142873174329833","0.146286182056615","0.231052372716501","0.267760957825888","0","","",
"Belgium","BEL","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","0.0178062285871787","0.000485555868533906","0","0.000220537715664442","0.00284435732923887","0","0.00339262195891415","0.00155756711503321","0","0","0","0","5.17540550194647E-05","2.29605256407775E-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Benin","BEN","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0354686156475409","0.00050791187087714","0","0.000882792086095338","0.00124365170915571","0.000493354052124169","0.00040825308174549","0.000594339571669874","0.00186211416376627","0.00144931843259753","0.00167424298245563","0.00198260045073237","0.00260232685137148","0.00384931291776888","0.00345672547523696","0.00207335411980737","0.00159576728538091","0","0","0","0","0","","",
"Burkina Faso","BFA","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.233671673680535","0.368409251557117","0.619704304418197","0.573053896972508","0.541502162301762","0.530375427156057","0.273409170151989","0.777557436068745","0.120522448772893","0","0.134174713852885","0.0799924681643844","0.124531170643184","0.0972161579362261","0.0677406023800237","0.0321466726879253","0.0383039839113427","0.0132398344913618","0.027948686829955","0.0111085881047742","0.0260286434145092","0.0443426028302354","0.131141061001604","0.000629309543991531","0.471558294821522","1.45795503522644","4.22402378000836","7.06149315716923","5.10230867176671","3.61889599334645","2.78132209740624","2.4361945336846","3.65447126187291","4.18031048447421","3.61385367020627","0.155119165741298","","",
"Bangladesh","BGD","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Bulgaria","BGR","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","","","","","","","","","","","0.559910698719796","0.344712289143471","0.352825672666016","0.345255160780902","0.385921000402327","0.497625489026396","0.133861820037606","0.16319127535899","2.44749933811538","2.1536208199058","0.383268709616785","0.378104462870264","0.452750885025725","0.318171470191384","0.574960663394176","0.458655218080686","0.400573592082446","0.468618989803775","0.178481191836267","0.0653472845222508","0.043496792944905","0.0257302673318719","0.0179575987751143","0.0145955075009417","0.10970709318396","0.281541120911474","1.09424133066156","0.896754757440941","0.516291682931192","0.159996239599633","0.728413523309267","0.820181930393706","0.851794493214353","0.611179513700091","0.361864196828946","0.261020089742794","0.18127586954539","0.330418891941537","0.30308166388062","0.0647453821153778","","",
"Bahrain","BHR","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Bahamas, The","BHS","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
