"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8444.15070153956","8034.11659809519","7763.94543088253","7674.96529361583","7768.09821545961","7973.30524153613","8034.44095792429","7953.57757451411","7934.95061112824","7956.87281912118","8024.6142189963","8108.86507169584","8098.77369792341","8266.75934359453","8512.00641230855","8834.64974177908","9170.92133559295","9291.15532796876","9162.20541493108","9474.51359181215","9593.52926235016","9542.18003709907","9625.46470556529","9723.37609752483","9721.81305863202","9683.43718727153","9657.40013941734","9623.35361199677","9554.60801935607","9324.55120111431","",
"Afghanistan","AFG","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5572.18480020993","5742.1537181977","5529.23236143351","5900.21413865045","6055.20526942152","6771.46429528836","6889.84466557515","8199.54684023603","9118.7889754236","8743.61767849013","9421.78291699541","9451.82116887206","9241.04761834741","8950.39449742221","8795.23407996816","8698.01716930822","8490.08570209311","8522.60600598112","9226.54710018847","",
"Africa Western and Central","AFW","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8020.88177543986","8012.0914457838","7715.67841301421","7497.88174867499","7444.18351355342","7595.31422901013","7715.81293433915","7779.11300502701","7711.36501823826","7777.71553939869","7977.19115574472","8497.40217218124","8730.93605689784","9167.4341444996","9445.95368267611","9698.53729303437","9963.75000621076","10330.5193500676","10689.6558661287","11139.8044131194","11397.023258264","11938.292690919","12562.9734389791","13016.6353720311","13010.7210064229","12845.3645651779","12880.8581763304","12909.5517447804","12957.681849959","12817.4525525292","",
"Angola","AGO","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14563.0916030701","13281.1761046092","9776.12843733808","9578.64836406514","10645.5488088754","11706.101622828","12150.9262996882","12297.0979519793","12136.8152217061","12071.7376436454","12164.5393036011","13355.8106195214","13279.9025478299","14208.3061783378","15750.7946394848","16958.0502766277","18641.2341559223","19972.6563303557","19414.908154138","20758.3273238689","20273.3191356194","21242.2513401577","21524.4387623225","21778.392421502","21221.6543814894","19973.6202647225","19260.3366015458","18226.0404767862","17481.6547743882","16330.1606324354","",
"Albania","ALB","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8933.12586362696","10588.795889113","11082.4629236968","11532.171414153","12402.2236668546","13573.0560502629","12327.4612395234","14120.4002815391","16364.1125611271","17246.0110082665","18767.3167412207","19417.5982507162","20481.1874612984","21675.7212333696","23070.3525187696","24651.6179735389","26650.7546758772","28172.6016157099","28274.3571922973","29231.7010270376","27140.085476879","28646.0514874651","32144.6511412273","32764.7371337916","31777.7078455795","31069.9477763551","31065.0100091672","31103.7725275504","30965.9092899403","31821.7829552618","",
"Andorra","AND","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39401.5864769868","40654.1977655905","40498.8940479769","40182.3540677481","39929.094297576","40249.181637324","40624.4466039053","41713.8157357674","41055.5182566712","42973.9076163027","42883.9811375569","42476.4358301347","42970.0029850806","44527.9127429636","45182.5404359353","45622.5303561161","45783.7204409231","46835.1965846052","45579.583150972","45874.4786719389","46964.0092321202","48119.2495128522","48262.1115482176","48732.8668387983","49688.6528103746","50254.4494218171","50549.8204332694","50976.7653329875","50716.8574942596","49284.0465802161","",
"United Arab Emirates","ARE","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","208045.99004271","200055.786941976","188523.962738126","188788.59348605","189455.832291377","189248.42392101","193069.639911074","182918.738705618","177811.257724349","185729.287219132","173560.362773893","164462.02842502","164102.667633046","161354.527722282","148252.176667876","137145.247334876","119121.03469146","105290.142224839","88323.0308941861","82156.0987260974","83761.5081781703","85407.9995365584","88892.9826760333","92422.5178751043","96389.9797290377","98028.3562453294","99744.0774413423","101400.808016963","103390.292353503","101411.667400709","",
"Argentina","ARG","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38730.1587915901","41007.817517827","44855.45351573","47162.7223017705","49386.6109567136","49879.1360687124","51066.9729370685","50728.0296552989","49520.1058428419","49153.4174105124","48106.8767316569","44530.0363457109","44773.408883798","46454.7924151121","49079.6074657476","51264.4689804957","54764.9942437393","56458.4284351474","52560.319629108","57248.4716995004","59024.4308722068","57927.2959543335","58863.0101420029","57248.8911709221","58423.3066934368","57072.557705729","58316.7318122318","55878.9120013766","53836.0305044584","52536.3319207913","",
