,year,country_name,GDP,services,Forest,Domestic_credit,remittances,Minerals,General_government_final_consumption_expenditure,health,coal,agriculture
1696,2001,Malaysia,92783947368.4211,49.1730931223924,3.84853177971637,127.232205831884,0.395656009007911,0.0125745200968976,12.0392876490092,1.35142004,0.0042376257653512,8.01097059098812
1697,2002,Malaysia,100845526315.789,48.6964168752104,3.52927447095011,121.351916819106,0.431352798574161,0.0146039986731135,12.95780675499,1.36677563,0.0004437330819505,8.98508140381459
1698,2003,Malaysia,110202368421.053,46.7102388190148,4.93904881234845,118.591510355351,0.518185443526144,0.0177888069325262,12.9680086157285,1.51884329,0.0001970098627574,9.30608521643197
1699,2004,Malaysia,124749473684.211,44.5475985554205,2.89250364486329,111.628782528352,0.642783009315513,0.0165621855138298,12.579949709734,1.45687652,0.0081674282000185,9.27100209261509
1700,2005,Malaysia,143534102611.497,44.1971529384927,3.3336334713923,106.292938639901,0.77819315409959,0.0336299304781948,11.4736063637601,1.36280441,0.0095005380008138,8.26229170422644
1701,2006,Malaysia,162691238209.476,43.9262781844017,3.75278350400573,103.48916693477,0.839305341894679,0.0308546918686246,11.1676921633288,1.67488027,0.010329800859409,8.60998284136304
1702,2007,Malaysia,193547824063.3,44.5202452881234,4.50438056249966,101.420335166982,0.804057763345948,0.0523489861732198,11.5668680674542,1.62477767,0.0174191680736335,9.98677367962245
1703,2008,Malaysia,230813897715.69,43.9481056537511,4.11577907626649,96.6045684844061,0.575819247849061,0.0618101747443073,11.5047879794636,1.59730816,0.0441259554838446,9.96858233467411
1704,2009,Malaysia,202257625195.063,48.836021810826,3.51504072225708,111.447312995454,0.55912470891643,0.0464592546788338,13.0484795688336,1.81166101,0.0267839176892922,9.21910004390782
1705,2010,Malaysia,255016609232.871,48.4772970196023,2.93603465268091,107.037442448206,0.432491586203816,0.166404941140829,12.581169028796,1.67910564,0.0472301707377554,10.0899159275121
1706,2011,Malaysia,297951960784.314,47.7668352467225,2.26347759165535,108.354991867137,0.406607861389258,0.334926849826675,13.2706614765507,1.76482272,0.0700110135620539,11.4533531198278
1707,2012,Malaysia,314443149443.149,49.0223958354783,2.28948744173113,114.054285705461,0.411459349882958,0.296650104287542,13.842133658412,1.86487269,0.0392338522773298,9.79375074645921
1708,2013,Malaysia,323277158906.979,49.9447288177857,2.09615524821686,119.79291768953,0.440294098341193,0.301519083315593,13.7154015161779,1.89357066,0.0272471111675244,9.11336384538206
1709,2014,Malaysia,338061963396.376,50.1226000797149,2.50556325201866,120.528683526807,0.467227233008297,0.147533920648153,13.3287480692634,2.03088164,0.019528496148486,8.87320901302643
1710,2015,Malaysia,301354803994.367,52.0138989748857,1.77420144861335,123.06518059017,0.545443715012781,0.152457744347987,13.0865607985559,2.03361416,0.0115024064018049,8.28749992585653
1711,2016,Malaysia,301255380276.258,52.5315044711925,1.61892074721075,121.935428885839,0.532411587140755,0.0265664238123495,12.5648977951943,1.8888557,0.0114207256290263,8.46252661805744
1712,2017,Malaysia,319112136545.438,51.8820155184897,2.02047969766383,117.127301648807,0.516728992608155,0.0617122536885276,12.1925918694431,1.92218924,0.0190370613559182,8.59827695237266
1713,2018,Malaysia,358791603677.728,52.9910344255954,2.0506046935017,120.246152753807,0.469793184890932,0.0298338505728191,11.9694562634691,1.92385709,0.0176754251208718,7.51208763883517
1714,2019,Malaysia,365276282438.141,54.1661572460756,1.51736561684581,120.644941522419,0.437300152985802,0.0057730388735013,11.6782329923465,1.99659598,0.0127292307901941,7.2397642809041
