,Country_Name,Country_Code,Series_Name,Series_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Argentina,ARG,"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,,,,,,,,,,,50000.0007450581,9999.99977648258,,,,,,,,,,,,,59999.9986588955,500000.0,800000.011920929,600000.023841858,419999.986886978,509999.990463257,550000.011920929,1679999.94754791,1309999.94277954,1559999.94277954,2049999.95231628,2599999.90463257,2500000.0,1750000.0,1639999.98569489,1049999.95231628,959999.978542328,1059999.94277954,600000.023841858,300000.011920929,439999.997615814,639999.985694885,610000.014305115,610000.014305115,649999.976158142,769999.980926514,769999.980926514,810000.002384186,565620.720386505,775997.579097748,816581.010818481,1385072.23129272,851610.898971558,936999.976634979,1007738.3518219,10401000.0228882,
1,Belize,BLZ,"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,,,,,,,,,,,39999.9991059303,19999.9995529652,29999.9993294477,9999.99977648258,,9999.99977648258,50000.0007450581,19999.9995529652,29999.9993294477,50000.0007450581,19999.9995529652,29999.9993294477,39999.9991059303,50000.0007450581,59999.9986588955,490000.009536743,259999.990463257,200000.002980232,70000.0002980232,79999.9982118607,100000.001490116,100000.001490116,870000.004768372,819999.992847443,819999.992847443,750000.0,800000.011920929,610000.014305115,839999.973773956,600000.023841858,550000.011920929,649999.976158142,529999.971389771,569999.992847443,649999.976158142,910000.026226044,680000.007152557,629999.995231628,579999.983310699,730000.019073486,1110000.01430511,1000000.0,667843.163013458,700483.500957489,818962.99123764,1348446.01154327,1176425.45700073,666000.008583069,794800.817966461,2757999.89700317,
2,Bolivia,BOL,"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,,,,,,,,,,,100000.001490116,469999.998807907,209999.993443489,379999.995231628,370000.004768372,1000000.0,400000.005960464,829999.983310699,560000.002384186,610000.014305115,649999.976158142,439999.997615814,519999.980926514,1590000.0333786,2339999.91416931,3269999.98092651,1919999.95708466,2990000.00953674,2109999.89509583,3079999.92370605,4139999.8664856,4969999.79019165,5190000.05722046,4650000.09536743,6440000.05722046,6550000.19073486,9869999.88555908,2190000.05722046,2069999.9332428,1269999.98092651,1139999.98569489,1370000.00476837,1210000.03814697,1159999.9666214,2079999.92370605,1769999.98092651,1539999.96185303,1710000.03814697,1080000.04291534,1490000.00953674,1389999.98569489,1519999.98092651,1194458.84227753,1527837.7532959,1526324.03373718,1993360.87703705,2147641.1819458,1623350.02422333,1504762.05348969,9765000.34332275,
3,Brazil,BRA,"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,,,,,,,,,,,720000.028610229,620000.004768372,1080000.04291534,1009999.99046326,1059999.94277954,1879999.99523163,720000.028610229,170000.001788139,150000.005960464,259999.990463257,589999.973773956,990000.009536743,1149999.97615814,1120000.00476837,1100000.02384186,1139999.98569489,1429999.94754791,3390000.10490417,2220000.02861023,5760000.22888184,6570000.17166138,3559999.94277954,6280000.20980835,9020000.45776367,12199999.8092651,15539999.961853,21850000.3814697,4829999.92370605,6349999.90463257,1740000.00953674,1320000.05245209,1629999.99523163,1159999.9666214,1129999.99523163,1700000.04768372,2700000.04768372,2200000.04768372,2049999.95231628,1759999.99046326,1090000.0333786,959999.978542328,750000.0,818588.137626648,840907.93132782,2732378.95965576,2499431.848526,2637593.98460388,2502399.92141724,985552.489757538,15395999.9084473,
4,Chile,CHL,"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,,,,,,,,,,,109999.999403954,150000.005960464,250000.0,270000.010728836,629999.995231628,790000.021457672,490000.009536743,59999.9986588955,620000.004768372,509999.990463257,340000.003576279,100000.001490116,70000.0002980232,59999.9986588955,79999.9982118607,189999.997615814,129999.995231628,150000.005960464,389999.985694885,479999.989271164,449999.988079071,860000.014305115,1100000.02384186,1080000.04291534,1110000.01430511,959999.978542328,800000.011920929,1659999.9666214,1789999.96185303,939999.997615814,769999.980926514,769999.980926514,589999.973773956,589999.973773956,449999.988079071,500000.0,419999.986886978,400000.005960464,439999.997615814,779999.971389771,970000.028610229,600000.023841858,700572.311878204,911520.779132843,1022586.94171906,657677.531242371,953340.232372284,982999.980449677,,,
5,Colombia,COL,"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,,,,,,,,,,,879999.995231628,709999.978542328,839999.973773956,340000.003576279,540000.021457672,970000.028610229,209999.993443489,839999.973773956,939999.997615814,1539999.96185303,1299999.95231628,1809999.94277954,1919999.95708466,2049999.95231628,1759999.99046326,2200000.04768372,2640000.10490417,3000000.0,1850000.02384186,1879999.99523163,2849999.90463257,2220000.02861023,2059999.94277954,1570000.05245209,1360000.01430511,889999.985694885,5019999.98092651,2450000.04768372,2559999.94277954,1250000.0,1179999.94754791,1000000.0,800000.011920929,910000.026226044,970000.028610229,1399999.97615814,1049999.95231628,1590000.0333786,1980000.01907349,1259999.99046326,850000.023841858,1029999.97138977,844649.851322174,657124.996185303,1166162.01400757,1014472.96142578,1090655.68447113,1146999.95517731,1520030.02166748,19600000.3814697,
6,Costa Rica,CRI,"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,,,,,,,,,,,129999.995231628,79999.9982118607,129999.995231628,100000.001490116,150000.005960464,100000.001490116,90000.0035762787,39999.9991059303,109999.999403954,70000.0002980232,19999.9995529652,59999.9986588955,109999.999403954,90000.0035762787,29999.9993294477,109999.999403954,159999.996423721,150000.005960464,189999.997615814,140000.000596046,239999.994635582,90000.0035762787,720000.028610229,740000.009536743,779999.971389771,709999.978542328,1080000.04291534,649999.976158142,839999.973773956,620000.004768372,519999.980926514,730000.019073486,569999.992847443,600000.023841858,579999.983310699,709999.978542328,569999.992847443,589999.973773956,579999.983310699,759999.990463257,790000.021457672,1169999.95708466,865849.077701569,791370.868682861,828711.986541748,1090072.87025452,688660.025596619,931999.981403351,1457262.8736496,1623000.02574921,
7,Dominica,DMA,"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,,,,,,,,,,,,,,,9999.99977648258,,,,,19999.9995529652,39999.9991059303,50000.0007450581,9999.99977648258,39999.9991059303,29999.9993294477,19999.9995529652,9999.99977648258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ecuador,ECU,"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,,,,,,,,,,,389999.985694885,419999.986886978,379999.995231628,219999.998807907,389999.985694885,400000.005960464,159999.996423721,79999.9982118607,189999.997615814,319999.992847443,730000.019073486,500000.0,540000.021457672,540000.021457672,560000.002384186,490000.009536743,409999.996423721,460000.00834465,709999.978542328,1029999.97138977,1570000.05245209,2529999.97138977,1539999.96185303,1960000.03814697,3279999.97138977,2650000.09536743,4650000.09536743,1929999.94754791,1740000.00953674,970000.028610229,970000.028610229,879999.995231628,779999.971389771,930000.007152557,1269999.98092651,1090000.0333786,959999.978542328,829999.983310699,1080000.04291534,790000.021457672,730000.019073486,1019999.98092651,530962.16917038,724686.086177826,1086312.05558777,1118064.88037109,2087670.80307007,-122239.999473095,1239943.26591492,9229999.54223633,
9,Guatemala,GTM,"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,,,,,,,,,,,189999.997615814,109999.999403954,250000.0,189999.997615814,270000.010728836,430000.007152557,1529999.97138977,1389999.98569489,850000.023841858,1059999.94277954,509999.990463257,639999.985694885,490000.009536743,579999.983310699,490000.009536743,689999.997615814,589999.973773956,1179999.94754791,589999.973773956,1490000.00953674,2720000.02861023,1669999.95708466,1379999.99523163,2440000.05722046,1740000.00953674,1429999.94754791,2880000.11444092,2089999.91416931,1779999.97138977,939999.997615814,870000.004768372,1139999.98569489,810000.002384186,829999.983310699,1090000.0333786,1029999.97138977,970000.028610229,1100000.02384186,1590000.0333786,839999.973773956,889999.985694885,910000.026226044,920676.469802856,1103706.71749115,1237637.04299927,1307515.02513885,1280916.929245,1753000.02098083,1638900.27999878,7877999.78256226,
10,Guyana,GUY,"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,,,,,,,,,,,19999.9995529652,29999.9993294477,19999.9995529652,29999.9993294477,9999.99977648258,19999.9995529652,39999.9991059303,79999.9982118607,70000.0002980232,150000.005960464,140000.000596046,209999.993443489,109999.999403954,140000.000596046,59999.9986588955,100000.001490116,340000.003576279,140000.000596046,300000.011920929,209999.993443489,439999.997615814,610000.014305115,660000.026226044,720000.028610229,769999.980926514,740000.009536743,1110000.01430511,769999.980926514,889999.985694885,629999.995231628,740000.009536743,629999.995231628,819999.992847443,689999.997615814,810000.002384186,1419999.95708466,800000.011920929,1090000.0333786,1029999.97138977,1299999.95231628,790000.021457672,910000.026226044,928190.231323242,1390656.23283386,2290988.92211914,1620441.91360474,2256979.7039032,1685999.98950958,1973408.1029892,4197000.02670288,
11,Honduras,HND,"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,,,,,,,,,,,259999.990463257,159999.996423721,140000.000596046,140000.000596046,389999.985694885,340000.003576279,460000.00834465,689999.997615814,970000.028610229,310000.002384186,330000.013113022,250000.0,479999.989271164,349999.994039536,340000.003576279,589999.973773956,310000.002384186,769999.980926514,319999.992847443,1299999.95231628,1460000.03814697,1740000.00953674,879999.995231628,1269999.98092651,1039999.96185303,1250000.0,2279999.97138977,1389999.98569489,1289999.96185303,1370000.00476837,349999.994039536,1070000.05245209,1139999.98569489,1129999.99523163,1370000.00476837,1269999.98092651,1029999.97138977,1129999.99523163,879999.995231628,649999.976158142,939999.997615814,850000.023841858,464807.152748108,920505.940914154,1066149.95002747,1253429.05521393,1358442.06809998,1235000.01430511,1843319.41604614,7422999.8588562,
12,"Korea, Rep.",KOR,"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,,,,,,,,,,,569999.992847443,670000.016689301,649999.976158142,460000.00834465,769999.980926514,990000.009536743,939999.997615814,680000.007152557,550000.011920929,,910000.026226044,600000.023841858,620000.004768372,579999.983310699,550000.011920929,560000.002384186,449999.988079071,400000.005960464,319999.992847443,479999.989271164,439999.997615814,430000.007152557,280000.001192093,750000.0,19999.9995529652,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Mexico,MEX,"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,,,,,,,,,,,9999.99977648258,19999.9995529652,140000.000596046,200000.002980232,699999.988079071,460000.00834465,250000.0,79999.9982118607,419999.986886978,600000.023841858,500000.0,649999.976158142,430000.007152557,910000.026226044,1120000.00476837,1090000.0333786,2859999.89509583,1919999.95708466,1559999.94277954,2460000.03814697,3680000.0667572,3779999.97138977,3579999.92370605,3130000.11444092,3529999.97138977,4099999.90463257,4550000.19073486,2470000.02861023,2390000.10490417,990000.009536743,1080000.04291534,1389999.98569489,1190000.05722046,660000.026226044,829999.983310699,1190000.05722046,779999.971389771,1799999.95231628,790000.021457672,1000000.0,899999.976158142,899999.976158142,848678.529262543,633149.921894073,741348.9818573,1351624.84645844,1392728.32870483,1610000.01430511,740950.107574463,9652999.87792969,
