Country_Name,Country_Code,Series_Name,Series_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,ARG,DeathInfant,SH.DTH.IMRT,,,,,,,,,,,31880.0,32344.0,32836.0,33230.0,33427.0,33230.0,32491.0,31199.0,29435.0,27349.0,25266.0,23404.0,21798.0,20433.0,19300.0,18498.0,18075.0,17966.0,18038.0,18168.0,18201.0,18003.0,17571.0,16981.0,16286.0,15555.0,14836.0,14164.0,13557.0,13022.0,12559.0,12152.0,11779.0,11413.0,11047.0,10716.0,10454.0,10242.0,10043.0,9821.0,9554.0,9228.0,8861.0,8479.0,8102.0,7719.0,7322.0,6915.0,6503.0,6095.0,5719.0
Belize,BLZ,DeathInfant,SH.DTH.IMRT,,,,,,,,,361.0,355.0,350.0,344.0,339.0,333.0,329.0,324.0,319.0,313.0,308.0,301.0,294.0,287.0,280.0,272.0,264.0,255.0,246.0,237.0,227.0,217.0,207.0,197.0,188.0,180.0,172.0,166.0,160.0,156.0,152.0,148.0,146.0,143.0,140.0,138.0,136.0,134.0,131.0,129.0,127.0,124.0,122.0,119.0,116.0,112.0,107.0,103.0,98.0,93.0,88.0,84.0,80.0
Bolivia,BOL,DeathInfant,SH.DTH.IMRT,,27060.0,27040.0,27000.0,26951.0,26877.0,26802.0,26704.0,26601.0,26492.0,26361.0,26216.0,26045.0,25844.0,25610.0,25336.0,25040.0,24711.0,24362.0,24017.0,23676.0,23363.0,23062.0,22765.0,22458.0,22138.0,21786.0,21401.0,20977.0,20516.0,20032.0,19524.0,18995.0,18448.0,17885.0,17302.0,16699.0,16072.0,15430.0,14771.0,14107.0,13444.0,12787.0,12140.0,11513.0,10905.0,10318.0,9758.0,9226.0,8722.0,8249.0,7804.0,7379.0,6973.0,6602.0,6270.0,5984.0,5720.0,5492.0,5286.0,5105.0
Brazil,BRA,DeathInfant,SH.DTH.IMRT,379150.0,377795.0,375538.0,372419.0,368749.0,364551.0,359690.0,354146.0,348129.0,341578.0,334940.0,328724.0,323269.0,318611.0,314846.0,311621.0,308537.0,305356.0,301391.0,296111.0,289490.0,281498.0,272556.0,262852.0,252893.0,242780.0,232552.0,222494.0,212592.0,203132.0,193959.0,185013.0,176024.0,166816.0,157645.0,148521.0,139784.0,131237.0,122942.0,114804.0,106815.0,98956.0,91339.0,84084.0,77298.0,71001.0,65431.0,60568.0,56392.0,52929.0,50020.0,47673.0,45811.0,44313.0,43119.0,42104.0,44108.0,40403.0,39558.0,38646.0,37657.0
Chile,CHL,DeathInfant,SH.DTH.IMRT,36880.0,35228.0,33960.0,32605.0,30572.0,27805.0,24948.0,22496.0,20640.0,19415.0,18748.0,18367.0,17997.0,17373.0,16267.0,14665.0,12842.0,11041.0,9474.0,8278.0,7430.0,6751.0,6128.0,5613.0,5311.0,5234.0,5258.0,5270.0,5203.0,5029.0,4753.0,4414.0,4061.0,3725.0,3426.0,3177.0,2981.0,2839.0,2714.0,2559.0,2367.0,2189.0,2063.0,1981.0,1925.0,1883.0,1859.0,1856.0,1863.0,1862.0,1845.0,1816.0,1784.0,1747.0,1698.0,1635.0,1566.0,1498.0,1434.0,1375.0,1315.0
Colombia,COL,DeathInfant,SH.DTH.IMRT,67853.0,67469.0,66967.0,66260.0,65365.0,64194.0,62740.0,61019.0,59042.0,56864.0,54611.0,52430.0,50400.0,48506.0,46797.0,45198.0,43699.0,42212.0,40691.0,39114.0,37469.0,35801.0,34178.0,32623.0,31211.0,29929.0,28834.0,27956.0,27221.0,26591.0,26043.0,25499.0,24902.0,24236.0,23491.0,22687.0,21850.0,21015.0,20204.0,19436.0,18698.0,17984.0,17268.0,16571.0,15864.0,15136.0,14425.0,13734.0,13083.0,12494.0,11950.0,11460.0,11019.0,10612.0,10239.0,9896.0,9575.0,9251.0,8925.0,8592.0,8268.0
Costa Rica,CRI,DeathInfant,SH.DTH.IMRT,4057.0,3872.0,4079.0,4463.0,4635.0,4465.0,4151.0,3926.0,3812.0,3733.0,3618.0,3424.0,3134.0,2809.0,2543.0,2337.0,2116.0,1852.0,1592.0,1411.0,1348.0,1365.0,1427.0,1501.0,1557.0,1570.0,1531.0,1434.0,1309.0,1219.0,1186.0,1168.0,1133.0,1090.0,1060.0,1052.0,1044.0,1019.0,977.0,919.0,853.0,794.0,753.0,729.0,717.0,709.0,702.0,693.0,681.0,669.0,657.0,642.0,619.0,591.0,568.0,552.0,541.0,533.0,519.0,496.0,462.0
Dominica,DMA,DeathInfant,SH.DTH.IMRT,,171.0,156.0,143.0,131.0,122.0,113.0,105.0,97.0,88.0,80.0,72.0,64.0,56.0,50.0,44.0,39.0,35.0,32.0,33.0,28.0,27.0,26.0,25.0,24.0,23.0,22.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,19.0,18.0,18.0,17.0,17.0,17.0,16.0,16.0,17.0,17.0,17.0,18.0,18.0,19.0,20.0,21.0,22.0,24.0,25.0,27.0,28.0,29.0,30.0,31.0
Ecuador,ECU,DeathInfant,SH.DTH.IMRT,23189.0,23142.0,23109.0,23099.0,23075.0,23079.0,23116.0,23185.0,23241.0,23274.0,23221.0,23077.0,22781.0,22352.0,21781.0,21136.0,20493.0,19876.0,19280.0,18707.0,18127.0,17545.0,16930.0,16330.0,15739.0,15171.0,14625.0,14150.0,13685.0,13249.0,12810.0,12364.0,11909.0,11429.0,10935.0,10419.0,9894.0,9368.0,8863.0,8378.0,7935.0,7533.0,7177.0,6856.0,6577.0,6324.0,6094.0,5866.0,5645.0,5425.0,5213.0,5015.0,4832.0,4664.0,4509.0,4373.0,4246.0,4128.0,4012.0,3886.0,3753.0
Guatemala,GTM,DeathInfant,SH.DTH.IMRT,29131.0,29007.0,28916.0,28848.0,28796.0,28762.0,28745.0,28731.0,28728.0,28720.0,28717.0,28691.0,28639.0,28567.0,28462.0,28318.0,30184.0,27870.0,27608.0,27274.0,26878.0,26406.0,28607.0,25210.0,24605.0,23929.0,23263.0,22651.0,22095.0,21590.0,21147.0,20731.0,20330.0,19930.0,19502.0,19058.0,18601.0,18132.0,17669.0,17212.0,16749.0,16265.0,15750.0,15216.0,14660.0,14091.0,13524.0,12979.0,12465.0,11985.0,11557.0,11163.0,10792.0,10447.0,10120.0,9823.0,9553.0,9300.0,9036.0,8780.0,8530.0
