Country_Name,Country_Code,Series_Name,Series_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.04837857,80.97104201,79.58303248,79.47848201,80.86036429,67.63779715,69.68068083,69.99171223,68.69159757,67.56161945,67.37396932,66.92900922,65.42108524,65.88933659,69.57026604,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,38.07620144,40.14868282,40.88379711,38.14229017,38.53298559,41.86685982,40.26563805,40.66105167,42.25024902,43.85492832,47.43202473,50.11360725,52.75352793,53.08831202,52.03505053,52.18321532,52.35827663,53.21167615,53.4685828,52.19960191,51.50221974,54.43801336,54.43490453,53.2303,52.43487607,50.13836552,48.48298009,53.59123124,54.13571608,53.91388855,53.90187939,54.05349393,53.66760137,53.94855155,53.24950637,53.53023465,53.15771828,51.97575488,51.3983562,
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1511546,37.44480384,41.11089534,39.00778718,39.83102433,40.29468522,45.40983087,45.24443493,48.87937691,49.6968204,50.57939792,52.68274347,52.99086504,53.2352935,59.02321641,58.32905001,59.47742291,55.47280674,54.68834226,
Africa Western and Central,AFW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,47.70698763,50.02919475,48.934515,48.0961731,45.5521479,46.47973789,44.99292586,44.19550467,43.45929426,43.36538835,43.04418562,43.35649784,44.54883727,43.63252764,41.41748192,38.13941582,38.09165945,41.14568687,41.36112192,41.29291632,42.8195151,39.1434179,39.49409984,41.53752106,41.65879699,44.95612604,46.2763592,45.00444935,47.18783132,46.80972411,45.21103375,46.21460992,47.4913576,48.76458916,52.86343736,53.63141408,50.66272362,48.13740595,47.3487252,45.60800286,
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.06161049,25.1524549,30.24024067,31.93152829,20.99237086,22.21235549,26.95981144,37.90757897,41.18298638,40.34746427,35.52672583,37.15684684,34.61187835,34.3382016,48.99067367,41.88702366,39.07583134,39.60494609,42.78491612,46.81392753,48.65988909,46.98099433,46.76262458,43.20690941,38.85034623,39.62006992,
Albania,ALB,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.77251996,42.31598073,43.99425228,46.83404194,44.3029615,44.94302058,43.77651541,41.91147612,42.58041689,43.55447838,43.5234063,44.63982401,44.69915127,45.31722054,44.02558797,44.25637233,44.954686,44.6069895,45.78239166,46.28444259,46.69716852,47.96952236,47.75549556,48.41549681,48.35834199,
Andorra,AND,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,31.42600889,33.26886412,36.05103654,39.47017329,36.16490727,32.8156622,36.09134575,43.8401161,48.04708665,48.42328293,48.4778383,50.55955733,48.19306083,50.74641151,50.13256608,40.19228863,47.37693357,42.99727117,44.55339596,46.44791908,46.94746584,44.87174176,45.47309215,48.73548083,46.29194362,41.95043135,44.08746377,45.21912004,44.05050383,42.81459386,39.53598161,37.94553229,38.78941753,36.64600352,44.3161678,42.77017071,39.10893813,39.628353,41.47554613,43.83024083,51.90262712,53.80219631,51.67785877,48.60831339,50.00206998,54.85906542,
United Arab Emirates,ARE,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,25.4643047,27.64018907,31.53313694,31.31213264,28.09722444,26.84579121,31.08838617,36.20758156,37.86522074,36.34681418,37.82202662,46.66110251,44.1756695,45.78802715,43.730045,40.03922095,51.9239305,43.3233557,47.03917728,51.9091999,52.66775777,51.84056576,52.56756663,57.79557705,55.64609223,49.22033828,48.08545855,50.25092983,48.95130315,46.65629001,42.96086491,41.00264428,44.18310024,41.15471609,46.91815711,46.7057368,41.29248152,41.91197126,44.35007845,46.59589411,55.36508545,57.77531607,56.6548395,52.24833314,54.7931582,58.21462009,
Argentina,ARG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,38.68135829,40.11709274,42.63620116,43.24265853,43.42715421,48.0836525,43.17878672,43.43347582,44.69502835,46.17635963,43.27476829,40.954084,44.10665582,46.3979525,48.17559806,52.42683251,53.1862536,49.30099531,49.78536853,51.94583523,53.08953817,54.81916247,54.07696627,52.5355207,48.03609224,55.85444764,60.56119851,63.32521644,61.05689761,61.59079292,62.26377967,61.35099555,60.8492831,61.53968561,63.48773052,63.46931344,65.08125733,54.77644565,51.03169425,47.83698829,48.48614593,48.74913337,49.50833078,50.2551922,53.306001,51.49518021,51.81190075,53.65811792,53.91909367,52.94054347,55.81490128,56.12223585,57.34993738,56.36975027,54.95884291,54.61267449,
Armenia,ARM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.69893241,45.74975686,47.41304375,48.21266939,49.91050943,50.76525836,52.61630512,53.9731853,53.15599565,
American Samoa,ASM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,75.05528487,75.61690498,75.10732687,73.5559808,73.13745139,75.69758603,76.52254991,76.79312076,75.81474701,72.35997886,71.85339199,71.74205004,71.51493652,72.49248329,72.3129916,73.23932169,74.21676575,74.21173011,73.67418167,73.67553636,74.02253941,74.43390562,74.152866,76.20652564,75.84740665,74.98669747,74.47962392,73.16804053,72.6147719,68.27708442,67.64095981,67.26905079,68.41721217,70.68763723,72.08020523,71.61574883,70.94839666,70.38716408,69.88088344,68.5308267,67.38975764,65.82465608,66.86046256,65.30801998,
Australia,AUS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.50010999,61.24874468,61.8935216,62.55959912,62.52566339,62.43297296,62.48231297,63.43740393,63.60619657,64.3590842,64.38066137,64.17506034,63.97610309,64.30586535,64.28204935,64.36243563,63.70864031,64.31800442,64.46163467,64.06945674,65.68996775,64.62608735,65.16198117,66.25047024,65.68628003,67.23042717,68.22132971,67.01452953,66.65724335,66.06471595,66.28080849,
Austria,AUT,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,49.60392127,50.52802293,50.52671771,51.68574911,51.59590594,52.20077802,53.44495348,54.00409201,54.22134428,54.58824701,55.03606846,55.58785868,55.73284819,56.06704974,56.10866351,56.44930138,57.34876287,58.39535497,58.17479553,58.91782259,58.68089384,58.49159639,58.86279371,58.73121872,59.30901534,59.48752858,60.29569645,60.39357126,60.31826678,60.57242618,60.70337865,60.31531249,61.02663208,62.16858104,62.29415785,62.27624367,62.00085522,62.32658311,62.65379327,62.8806356,62.60349078,62.56298193,62.86422782,63.208433,63.14566498,
Azerbaijan,AZE,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.75443383,34.24401198,28.82305346,35.90095541,38.04278089,37.94170025,30.84974017,35.81673685,43.34127768,39.0453233,35.78559166,34.47964482,32.45525773,31.92471839,31.79878549,25.40946297,23.31405832,21.63219971,23.44209362,31.22452706,27.93359237,27.32383549,29.20829246,30.91402839,33.61586468,39.99595439,38.69246606,37.57609706,34.79798232,36.4910704,42.03268712,
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,17.76016875,18.98507031,21.46521944,18.22739385,19.50789827,19.46387474,20.5786077,19.29394743,20.61095806,20.25212745,23.24253341,23.96089169,25.62901634,25.46156292,23.66054277,23.14991606,25.09070634,25.46715402,25.8545445,23.40064387,22.98713624,23.34849786,22.68145959,22.35135726,26.77037965,28.46097,28.12455169,32.57208285,33.49822589,35.71339482,32.1289977,34.99861277,35.50594768,33.8265616,33.97993703,34.01465267,35.70226735,39.91886758,38.32144077,37.83945218,36.95112487,37.99415081,38.85014306,36.02350164,39.12782297,49.36541366,47.67307842,49.33370144,49.11498323,47.94459469,45.20894802,
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.79132744,62.5668554,62.06941944,62.6376149,63.41402416,63.05584289,64.16341542,64.6783107,65.31204459,65.24479339,65.87433266,66.14894903,66.05405,66.95736178,68.08687435,67.65763406,67.97273596,68.49910157,68.77188964,69.16114583,69.2286131,69.37556341,69.31069109,69.62665864,69.43167851,69.58140518,
Benin,BEN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,43.61530218,43.99291247,45.49941815,44.8122107,43.67841036,47.39872559,43.54556724,46.50592429,50.26311705,50.44027173,51.9683982,52.1614597,51.88085246,52.07995388,51.38207924,53.29700436,53.89345935,55.58792754,51.4524915,51.66376851,52.28564183,54.42494321,52.37638103,51.48538097,49.61898729,51.75202597,54.22109646,54.35448323,52.22523509,49.37509907,52.89166958,52.97359608,53.33041536,53.6634374,54.36794101,53.517529,51.02775862,50.69736208,50.85687892,33.49007192,35.31866315,37.59521955,35.78961069,37.20553213,36.89730754,38.01879158,39.23787431,41.00986958,43.8028111,44.09027851,44.54743973,46.97923755,48.8721212,49.4207609,49.52855165,49.2408969,48.20319961,48.40097922,48.80007884,48.02682134,47.89733209,
Burkina Faso,BFA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,38.26600701,38.47785657,38.65131321,36.88083268,36.64912939,41.15305816,40.7146337,42.17703329,43.33303671,43.15688091,44.54656487,40.78715677,40.91531698,39.79468329,41.70642413,40.39885722,38.74915255,43.90615173,42.77554544,47.02201352,48.46614256,48.4483111,50.48553509,49.86295392,49.42898335,43.21610469,45.03135823,45.94705325,45.31412948,45.85113303,47.59259737,46.35862274,46.40653949,46.27760426,39.39365713,39.53282371,37.47487217,38.3333247,37.98751931,43.95128396,47.74313235,46.39321659,46.59963429,44.91447627,46.4776364,44.54948913,47.13852823,48.17893413,45.0673521,45.88973089,42.12072485,40.56260688,40.31882105,41.55892704,42.49592913,44.08181423,43.80582668,43.96798359,43.55081264,44.87075338,40.82609106,
Bangladesh,BGD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,35.55187206,35.2176463,35.01756422,35.04873896,36.2201389,36.45828048,35.73754385,36.04469322,37.18191451,35.40077707,36.70941718,41.28485001,34.3259919,31.25080951,29.99071872,26.43481356,33.63634027,34.37286917,31.43997901,31.86153313,44.55566559,45.69143521,46.14477528,45.78258201,41.64744981,44.41744049,45.08441949,45.49177078,46.38867192,47.18134255,46.70069084,44.35733513,44.38379684,46.04466406,46.28377825,45.12850071,50.12420143,49.93417578,49.83362704,50.20074326,50.5663243,50.58011856,51.5724175,52.40049242,52.80586182,52.8799569,52.74459719,52.8840218,52.93212168,53.32332353,53.49829628,53.04579211,53.15157724,53.39018142,53.63575432,53.71383194,53.67130102,53.47621073,52.96072263,52.8493253,53.40254071,
Bulgaria,BGR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,30.49241984,29.0035229,24.98604074,25.09575845,24.07415009,25.13736643,21.37009859,30.05723859,32.47716136,32.74169261,35.20332404,35.69859985,39.11952191,45.28738709,44.68474125,65.2783853,65.93161304,49.0908404,54.43540591,53.4034633,54.01625728,53.49108624,55.26063621,53.85262801,54.05453226,53.52907048,52.94011375,53.95682665,53.25770966,56.09344875,59.49520309,57.58952856,57.18346602,58.1843325,58.7293538,58.2883826,57.61131474,57.98226624,60.85524059,61.41550273,61.25320648,
Bahrain,BHR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,36.44762974,37.33416673,41.65452291,46.190544,45.89036432,,,,,,,,,,,,,,,,,,,,,,53.46352793,52.80999403,48.30707643,55.59649707,53.68171292,49.3409427,51.18788348,50.83948789,52.47439417,58.8349162,59.60223921,57.44429133,55.76053499,54.79954064,56.65149611,
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,73.43099309,72.98659771,72.95854398,73.11717292,,68.48252776,70.15502211,66.84857095,66.60829849,71.17483829,67.46370052,68.13537474,67.93385979,76.84496775,76.91249513,80.11327625,77.67130937,82.35320991,80.94438114,81.46817,82.29112486,82.16892702,78.92891391,82.23601806,81.16853506,82.28945017,81.07462935,79.80378235,76.94044121,78.84912241,78.27495535,76.99947858,77.34936544,75.61914933,74.97001044,74.15073987,75.71334847,
Bosnia and Herzegovina,BIH,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.29138812,53.60000242,35.7000015,39.36432995,38.70941073,44.48688982,54.35316552,54.56063807,54.89862579,55.79066068,55.60727185,54.63792011,52.59453369,52.54003293,53.65132429,55.64013586,55.50865589,55.81472747,56.78615992,56.15712166,56.78346277,56.17549361,55.4138011,55.68645264,54.93388349,55.73058212,55.78793216,
Belarus,BLR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.61200924,22.22222222,27.17391304,40.60913706,44.41072332,41.15054817,39.36425857,37.91047624,39.5825174,40.03573619,39.89467691,44.3475881,44.07057842,43.25280051,41.8164579,39.62832215,40.83288127,40.47154694,37.99144469,42.17288462,43.47499616,44.13123078,43.29360299,45.42212965,45.65231231,47.7421763,48.52299656,47.63371859,47.81045081,48.42669267,49.07486769,
Belize,BLZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,40.64563463,43.14888011,43.86249453,49.25677752,55.68861968,56.6909898,54.36161591,55.70737323,55.24007394,50.76164532,49.73849916,51.64666983,51.82620376,53.24225371,54.43342396,54.8443758,55.40797725,55.15169098,54.55857463,55.59573127,56.14466582,57.96328632,56.39669959,58.57486897,59.87476518,61.03232431,61.01804988,61.932513,59.91248582,60.43304329,60.08565655,61.54662065,60.27044379,59.28253991,59.32822441,59.1733026,59.49246934,60.07286429,61.63867604,62.4601541,65.78607131,64.39999293,66.28254398,
Bermuda,BMU,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.92083624,89.74511821,90.68708856,90.07025629,90.81535544,90.41111926,90.13227852,89.7082683,89.61449569,89.16705293,,
