Country_Name,Country_Code,Series_Name,Series_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,ARG,TechCoopGrants,BX.GRT.TECH.CD.WD,840000.0,840000.0,1470000.0,1140000.0,1600000.0,2000000.0,6830000.0,6970000.0,4430000.0,7480000.0,12350000.0,10110000.0,10730000.0,12740000.0,12070000.0,12860000.0,16090000.0,17580000.0,19610000.0,29220000.0,33740000.0,29870000.0,26780000.0,27840000.0,28140000.0,31730000.0,62830000.0,73940000.0,81330000.0,78900000.0,69360000.0,75530000.0,83310000.0,80560000.0,79360000.0,83480000.0,77330000.0,69620000.0,71720000.0,59610000.0,50500000.0,52490000.0,51510000.0,58810000.0,56200000.0,53880000.0,51400000.0,48100000.0,59990000.0,71880000.0,70420000.0,52020000.0,56800000.0,53140000.0,52320000.0,35720000.0,34820000.0,45930000.0,45690000.0,42800000.0,
Belize,BLZ,TechCoopGrants,BX.GRT.TECH.CD.WD,1800000.0,40000.0,130000.0,60000.0,180000.0,190000.0,1020000.0,1000000.0,730000.0,970000.0,1100000.0,740000.0,990000.0,1070000.0,1310000.0,1700000.0,1690000.0,1510000.0,1360000.0,1720000.0,2250000.0,2000000.0,3500000.0,3550000.0,6730000.0,6800000.0,8750000.0,10200000.0,12840000.0,13000000.0,12730000.0,14730000.0,13470000.0,15690000.0,9010000.0,11570000.0,11070000.0,6540000.0,4290000.0,4020000.0,4460000.0,5540000.0,4730000.0,3490000.0,3730000.0,5460000.0,4340000.0,4480000.0,3280000.0,4920000.0,4560000.0,4120000.0,5360000.0,4920000.0,7220000.0,5320000.0,7940000.0,9510000.0,4350000.0,5640000.0,
Bolivia,BOL,TechCoopGrants,BX.GRT.TECH.CD.WD,710000.0,790000.0,1200000.0,1460000.0,1300000.0,1110000.0,8350000.0,8840000.0,8190000.0,8200000.0,9370000.0,12070000.0,10490000.0,13040000.0,11060000.0,15260000.0,17830000.0,22410000.0,28690000.0,31450000.0,40510000.0,36130000.0,26810000.0,28270000.0,29090000.0,42440000.0,58140000.0,79040000.0,84100000.0,91040000.0,106400000.0,153040000.0,170290000.0,184350000.0,182340000.0,210020000.0,183670000.0,188870000.0,189880000.0,185610000.0,141260000.0,220140000.0,201440000.0,256230000.0,233660000.0,236570000.0,299090000.0,105580000.0,134530000.0,153930000.0,128130000.0,110560000.0,117360000.0,96710000.0,93330000.0,79400000.0,74910000.0,71910000.0,71080000.0,54400000.0,
Brazil,BRA,TechCoopGrants,BX.GRT.TECH.CD.WD,-720000.0,-210000.0,1410000.0,2060000.0,2370000.0,2240000.0,29200000.0,31560000.0,23930000.0,30770000.0,31840000.0,37470000.0,35760000.0,41620000.0,43190000.0,42170000.0,39150000.0,42590000.0,55540000.0,63590000.0,82680000.0,81000000.0,75270000.0,72480000.0,70600000.0,72840000.0,98390000.0,120560000.0,138860000.0,134580000.0,140850000.0,157880000.0,175320000.0,183140000.0,193920000.0,237300000.0,221650000.0,200730000.0,195670000.0,188540000.0,179290000.0,162000000.0,170800000.0,213470000.0,194660000.0,191600000.0,204170000.0,246900000.0,235440000.0,230900000.0,239010000.0,213280000.0,241830000.0,235930000.0,237620000.0,189580000.0,200840000.0,201990000.0,180680000.0,189930000.0,
Chile,CHL,TechCoopGrants,BX.GRT.TECH.CD.WD,800000.0,1430000.0,2510000.0,2010000.0,3230000.0,3390000.0,14070000.0,14290000.0,9460000.0,13470000.0,18380000.0,18270000.0,17030000.0,18870000.0,18300000.0,23310000.0,20860000.0,28090000.0,23820000.0,31320000.0,36420000.0,33090000.0,29890000.0,29180000.0,23110000.0,30770000.0,36990000.0,50810000.0,51650000.0,49960000.0,66090000.0,78910000.0,90100000.0,87500000.0,86230000.0,95970000.0,85970000.0,77270000.0,73410000.0,61860000.0,55510000.0,55840000.0,45840000.0,57040000.0,64470000.0,59050000.0,50960000.0,45980000.0,61950000.0,68740000.0,65740000.0,55560000.0,64950000.0,58860000.0,56420000.0,41510000.0,45810000.0,47010000.0,,,
Colombia,COL,TechCoopGrants,BX.GRT.TECH.CD.WD,1300000.0,1180000.0,1840000.0,1940000.0,2150000.0,2290000.0,13510000.0,13340000.0,9740000.0,15840000.0,13280000.0,15990000.0,16090000.0,20170000.0,22340000.0,23870000.0,29610000.0,30930000.0,31740000.0,35590000.0,45950000.0,45900000.0,42630000.0,41110000.0,40830000.0,40630000.0,53950000.0,78830000.0,75730000.0,72350000.0,77760000.0,87750000.0,86580000.0,74980000.0,81200000.0,95950000.0,87230000.0,70880000.0,118040000.0,222790000.0,181580000.0,357720000.0,409070000.0,762980000.0,470540000.0,525760000.0,775970000.0,228850000.0,257870000.0,273770000.0,141220000.0,106800000.0,127190000.0,121310000.0,137010000.0,122080000.0,160460000.0,164570000.0,159540000.0,172380000.0,
Costa Rica,CRI,TechCoopGrants,BX.GRT.TECH.CD.WD,4010000.0,190000.0,200000.0,180000.0,570000.0,530000.0,4290000.0,3570000.0,3270000.0,3710000.0,3990000.0,5830000.0,5260000.0,6490000.0,7910000.0,13620000.0,8850000.0,11010000.0,10150000.0,10370000.0,13200000.0,11020000.0,13840000.0,17590000.0,25350000.0,26720000.0,35470000.0,47360000.0,56760000.0,64350000.0,70180000.0,79240000.0,86350000.0,80460000.0,56270000.0,72330000.0,54570000.0,42000000.0,38930000.0,22690000.0,23180000.0,40160000.0,26680000.0,26900000.0,27360000.0,27220000.0,28550000.0,43230000.0,34930000.0,30030000.0,29390000.0,26830000.0,31370000.0,28930000.0,29210000.0,23640000.0,24710000.0,27880000.0,24400000.0,23110000.0,
Dominica,DMA,TechCoopGrants,BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,590000.0,570000.0,410000.0,330000.0,340000.0,620000.0,2620000.0,1840000.0,1610000.0,2180000.0,3290000.0,2290000.0,1980000.0,2130000.0,3210000.0,3200000.0,2870000.0,2980000.0,2290000.0,2090000.0,3930000.0,3490000.0,5510000.0,4270000.0,4960000.0,3710000.0,3290000.0,2750000.0,2720000.0,2260000.0,2390000.0,2750000.0,1360000.0,2090000.0,3020000.0,5200000.0,2290000.0,1630000.0,1470000.0,1820000.0,1070000.0,910000.0,510000.0,1080000.0,1460000.0,2020000.0,
Ecuador,ECU,TechCoopGrants,BX.GRT.TECH.CD.WD,680000.0,970000.0,1430000.0,1710000.0,2090000.0,2230000.0,8920000.0,9220000.0,6430000.0,9080000.0,8290000.0,9710000.0,11120000.0,12350000.0,12480000.0,18690000.0,16870000.0,14250000.0,17430000.0,18360000.0,26470000.0,28030000.0,28820000.0,27120000.0,36800000.0,32620000.0,50970000.0,67120000.0,59460000.0,57410000.0,63050000.0,75180000.0,75660000.0,81460000.0,87560000.0,105570000.0,94400000.0,83460000.0,85120000.0,70900000.0,82570000.0,88610000.0,113560000.0,142080000.0,145220000.0,153910000.0,143810000.0,94780000.0,122220000.0,114380000.0,80490000.0,70270000.0,76870000.0,67460000.0,70400000.0,57820000.0,53960000.0,56250000.0,57330000.0,77660000.0,
Guatemala,GTM,TechCoopGrants,BX.GRT.TECH.CD.WD,16010000.0,570000.0,1070000.0,580000.0,620000.0,750000.0,5480000.0,6830000.0,5800000.0,5510000.0,8630000.0,8070000.0,8950000.0,8340000.0,8080000.0,10990000.0,11150000.0,14850000.0,14590000.0,15380000.0,17780000.0,16400000.0,14600000.0,15580000.0,14460000.0,24100000.0,29240000.0,42400000.0,54390000.0,67110000.0,86230000.0,82410000.0,81620000.0,92040000.0,64960000.0,89900000.0,76420000.0,99290000.0,91830000.0,82240000.0,86020000.0,119500000.0,122730000.0,124330000.0,118940000.0,93680000.0,114090000.0,75790000.0,108310000.0,112220000.0,118870000.0,109880000.0,91650000.0,59970000.0,56230000.0,47790000.0,48800000.0,52830000.0,57910000.0,54540000.0,
